track_name,track_id,album_name,popularity,track_duration_ms,explicit,artist_id,release_year,artist_name,genres,charted_year,years_since_release
NOKIA,2u9S9JJ6hTZS3Vf22HOZKg,$ome $exy $ongs 4 U,94,241023,TRUE,3TVXtAsR1Inumwj472S9r4,2025,Drake,rap,2018,-7
One Dance,1zi7xx7UVEFkmKfv06H8x0,Views,89,173986,FALSE,3TVXtAsR1Inumwj472S9r4,2016,Drake,rap,2018,2
Passionfruit,5mCPDVBb16L4XQwDdbRUpz,More Life,87,298940,TRUE,3TVXtAsR1Inumwj472S9r4,2017,Drake,rap,2018,1
DIE TRYING,0NUqi0ps17YpLUC3kgsZq0,$ome $exy $ongs 4 U,87,195431,TRUE,3TVXtAsR1Inumwj472S9r4,2025,Drake,rap,2018,-7
She Will,0b4M7hd7mzLTm99MrMeZsp,Tha Carter IV (Complete Edition),81,305840,TRUE,3TVXtAsR1Inumwj472S9r4,2011,Drake,rap,2018,7
God's Plan,6DCZcSspjsKoFjzjrWoCdn,Scorpion,86,198973,TRUE,3TVXtAsR1Inumwj472S9r4,2018,Drake,rap,2018,0
WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,I NEVER LIKED YOU,85,189893,TRUE,3TVXtAsR1Inumwj472S9r4,2022,Drake,rap,2018,-4
Headlines,6LxSe8YmdPxy095Ux6znaQ,Take Care (Deluxe),85,235986,TRUE,3TVXtAsR1Inumwj472S9r4,2011,Drake,rap,2018,7
9,1C7KSXR2GVxknex6I4ANco,Views,84,255786,TRUE,3TVXtAsR1Inumwj472S9r4,2016,Drake,rap,2018,2
Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,"Honestly, Nevermind",83,218364,TRUE,3TVXtAsR1Inumwj472S9r4,2022,Drake,rap,2018,-4
I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB,F-1 Trillion,88,178205,TRUE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2018,-6
I Ain't Comin' Back (feat. Post Malone),1BDLD4c07q0bmq2VCRsXoE,I’m The Problem,82,175271,FALSE,246dkjvS1zLTtiykXe5h60,2025,Post Malone,,2018,-7
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,Hollywood's Bleeding,85,157560,FALSE,246dkjvS1zLTtiykXe5h60,2019,Post Malone,,2018,-1
Circles,21jGcNKet2qwijlDFuPiPb,Hollywood's Bleeding,88,215280,FALSE,246dkjvS1zLTtiykXe5h60,2019,Post Malone,,2018,-1
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,THE TORTURED POETS DEPARTMENT,85,228965,FALSE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2018,-6
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,beerbongs & bentleys,84,218146,TRUE,246dkjvS1zLTtiykXe5h60,2018,Post Malone,,2018,0
Guy For That (Feat. Luke Combs),6StwwqB84sJeLr7tZDTxEX,F-1 Trillion,81,164011,FALSE,246dkjvS1zLTtiykXe5h60,2024,Post Malone,,2018,-6
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Stoney (Deluxe),83,220293,TRUE,246dkjvS1zLTtiykXe5h60,2016,Post Malone,,2018,2
Better Now,7dt6x5M1jzdTEt8oCbisTK,beerbongs & bentleys,82,231266,TRUE,246dkjvS1zLTtiykXe5h60,2018,Post Malone,,2018,0
Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),81,213817,TRUE,246dkjvS1zLTtiykXe5h60,2023,Post Malone,,2018,-5
